7.00 5.00 3.00 5.00 86.20 26.20 94.30 5.10 8.20 51.00 6.70 0.00 0.00 
7.00 4.00 10.00 2.00 90.60 35.40 669.10 6.70 18.00 33.00 0.90 0.00 0.00 
7.00 4.00 10.00 6.00 90.60 43.70 686.90 6.70 14.60 33.00 1.30 0.00 0.00 
8.00 6.00 3.00 5.00 91.70 33.30 77.50 9.00 8.30 97.00 4.00 0.20 0.00 
8.00 6.00 3.00 7.00 89.30 51.30 102.20 9.60 11.40 99.00 1.80 0.00 0.00 
8.00 6.00 8.00 7.00 92.30 85.30 488.00 14.70 22.20 29.00 5.40 0.00 0.00 
8.00 6.00 8.00 1.00 92.30 88.90 495.60 8.50 24.10 27.00 3.10 0.00 0.00 
8.00 6.00 8.00 1.00 91.50 145.40 608.20 10.70 8.00 86.00 2.20 0.00 0.00 
8.00 6.00 9.00 2.00 91.00 129.50 692.60 7.00 13.10 63.00 5.40 0.00 0.00 
7.00 5.00 9.00 6.00 92.50 88.00 698.60 7.10 22.80 40.00 4.00 0.00 0.00 
7.00 5.00 9.00 6.00 92.50 88.00 698.60 7.10 17.80 51.00 7.20 0.00 0.00 
7.00 5.00 9.00 6.00 92.80 73.20 713.00 22.60 19.30 38.00 4.00 0.00 0.00 
6.00 5.00 8.00 5.00 63.50 70.80 665.30 0.80 17.00 72.00 6.70 0.00 0.00 
6.00 5.00 9.00 1.00 90.90 126.50 686.50 7.00 21.30 42.00 2.20 0.00 0.00 
6.00 5.00 9.00 3.00 92.90 133.30 699.60 9.20 26.40 21.00 4.50 0.00 0.00 
6.00 5.00 9.00 5.00 93.30 141.20 713.90 13.90 22.90 44.00 5.40 0.00 0.00 
5.00 5.00 3.00 6.00 91.70 35.80 80.80 7.80 15.10 27.00 5.40 0.00 0.00 
8.00 5.00 10.00 1.00 84.90 32.80 664.20 3.00 16.70 47.00 4.90 0.00 0.00 
6.00 4.00 3.00 3.00 89.20 27.90 70.80 6.30 15.90 35.00 4.00 0.00 0.00 
6.00 4.00 4.00 6.00 86.30 27.40 97.10 5.10 9.30 44.00 4.50 0.00 0.00 
